#,Product Name,Derived Original Price (GHS),Correct Price (fill in if wrong)
195,"St. Ives Fresh Skin Scrub",92.63,
196,"St. Ives Gentle Smoothing Scrub(Oat)",92.63,
197,"St. Ives Hydrating Body Wash",121.00,
198,"St. Ives Radiant Skin Scrub",92.63,
199,"Star Pimple Patches",15.00,
200,"Sugar Lip Scrub",45.00,
201,"Sunburns and Darkspots Skincare Set",280.90,
202,"Sweet Dose Keyholder Lipgloss",30.00,
203,"Tea Tree Acne Patch",40.83,
204,"Tea Tree Conditioner",62.50,
205,"Tea Tree Facial Scrub",62.50,
206,"Tea Tree Facial Set",222.22,
207,"Tea Tree Facial Toner",62.50,
208,"Tea Tree Oil",72.00,
209,"Tea Tree Shampoo",62.50,
210,"The Estelin Rosehip Niacinamide Fade Spot Serum",81.67,
211,"Tretinoin Gel 0.1%",125.22,
212,"USHAS Lip mask and Scrub Combo",36.00,
213,"USHAS This is Juice Gloss",12.50,
214,"Ushas Colour Lip Gloss",12.00,
215,"Ushas Setting Spray",40.00,
216,"Vapourizer For Skincare(Comes with a Charger)",65.00,
217,"Veet Tumeric Oil(Small size)",82.72,
